station,站名,lon,lat
53756,吴堡,110.71666666666667,37.516666666666666
53757,清涧,110.11666666666666,37.11666666666667
53832,志丹,108.76666666666667,36.766666666666666
53841,安塞,109.31666666666666,36.88333333333333
53845,延安,109.5,36.6
53848,甘泉,109.35,36.266666666666666
53850,延川,110.18333333333334,36.88333333333333
53854,延长,110.06666666666666,36.583333333333336
53857,宜川,110.18333333333334,36.06666666666667
53929,长武,107.8,35.2
53931,富县,109.38333333333334,36.0
53938,旬邑,108.3,35.166666666666664
53941,白水,109.58333333333333,35.18333333333333
53942,洛川,109.5,35.81666666666667
53944,黄陵,109.25,35.25
53945,宜君,109.06666666666666,35.43333333333333
53946,黄龙,109.81666666666666,35.6
53947,铜川,109.06666666666666,35.083333333333336
